,objectid,listed_tax,map_taxon,scientific,vernacular,threatened,migratory,marine,cetacean,presence_r,presence_c,extract_da,taxon_grou,taxon_fami,taxon_orde,taxon_clas,taxon_phyl,taxon_king,other_ids,cell_size,regions,attributio,sprat_prof,shape_leng,shape_area,species
1303,1303,54999,54999,Caladenia colorata,"Coloured Spider-orchid, Small Western Spider-orchid, Painted Spider-orchid",Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,76205,0.1,VIC; SA,"Species of National Environmental Significance 10km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=54999,15.79999855,1.879999697,Caladenia colorata
1403,1403,54999,54999,Caladenia colorata,"Coloured Spider-orchid, Small Western Spider-orchid, Painted Spider-orchid",Endangered,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,76205,0.1,VIC; SA,"Species of National Environmental Significance 10km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=54999,17.19999853,0.769999875,Caladenia colorata
1807,1807,5505,5505,Caladenia concolor,"Crimson Spider-orchid, Maroon Spider-orchid",Vulnerable,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,"4,383,776,142",0.1,NSW; VIC; SA,"Species of National Environmental Significance 10km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=5505,10.9999991,0.849999871,Caladenia concolor
1404,1404,55000,55000,Caladenia conferta,Coast Spider-orchid,Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,78629,0.1,SA,"Species of National Environmental Significance 10km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55000,0.799999936,0.019999997,Caladenia conferta
1405,1405,55000,55000,Caladenia conferta,Coast Spider-orchid,Endangered,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,78629,0.1,SA,"Species of National Environmental Significance 10km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55000,11.99999896,1.579999753,Caladenia conferta
2380,2380,82403,82403,Caladenia cremna,"Don's Spider Orchid, Beady Spider Orchid",Critically Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,81968,0.1,VIC,"Species of National Environmental Significance 10km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=82403,2.199999807,0.169999973,Caladenia cremna
1514,1514,64858,64858,Caladenia dienema,Windswept Spider-orchid,Endangered,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,76223,0.01,TAS,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64858,8.459999251,0.161499969,Caladenia dienema
3404,3404,64858,64858,Caladenia dienema,Windswept Spider-orchid,Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,76223,0.01,TAS,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64858,2.899999749,0.031399994,Caladenia dienema
3584,3584,6596,6596,Caladenia dorrienii,Cossack Spider-orchid,Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,"2,267,378,672",0.01,WA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=6596,6.739999504,0.168599975,Caladenia dorrienii
21,21,68687,68687,Caladenia drakeoides,Hinged Dragon Orchid,Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,"567,226,723,467,353",0.01,WA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=68687,26.35999829,0.261699966,Caladenia drakeoides
22,22,68687,68687,Caladenia drakeoides,Hinged Dragon Orchid,Endangered,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,"567,226,723,467,353",0.01,WA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=68687,71.89999509,0.764999901,Caladenia drakeoides
1947,1947,56775,56775,Caladenia elegans,Elegant Spider-orchid,Endangered,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,"2,438,967,225,673,500,000,000,000",0.01,WA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=56775,10.3999994,0.489699943,Caladenia elegans
2028,2028,56775,56775,Caladenia elegans,Elegant Spider-orchid,Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,"2,438,967,225,673,500,000,000,000",0.01,WA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=56775,4.739999699,0.163499981,Caladenia elegans
969,969,56717,67366,Caladenia excelsa,Giant Spider-orchid,Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,"2,438,867,273,673,660,000,000,000",0.01,WA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=56717,1.379999919,0.013999998,Caladenia excelsa
435,435,24370,24370,Caladenia formosa,"Elegant Spider-orchid, Blood-red Spider-orchid",Vulnerable,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,"5,500,876,196",0.1,VIC; SA,"Species of National Environmental Significance 10km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=24370,0.399999969,0.009999998,Caladenia formosa
509,509,24370,24370,Caladenia formosa,"Elegant Spider-orchid, Blood-red Spider-orchid",Vulnerable,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,"5,500,876,196",0.1,VIC; SA,"Species of National Environmental Significance 10km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=24370,7.599999333,0.439999927,Caladenia formosa
1197,1197,24371,24371,Caladenia fulva,Tawny Spider-orchid,Endangered,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,"5,500,776,144",0.1,VIC; SA,"Species of National Environmental Significance 10km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=24371,0.599999934,0.019999997,Caladenia fulva
1385,1385,24371,24371,Caladenia fulva,Tawny Spider-orchid,Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,"5,500,776,144",0.1,VIC; SA,"Species of National Environmental Significance 10km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=24371,0.799999933,0.029999995,Caladenia fulva
2089,2089,8079,8079,Caladenia gladiolata,"Bayonet Spider-orchid, Clubbed Spider-orchid",Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,76236,0.1,SA,"Species of National Environmental Significance 10km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=8079,3.99999971,0.269999961,Caladenia gladiolata
2090,2090,8079,8079,Caladenia gladiolata,"Bayonet Spider-orchid, Clubbed Spider-orchid",Endangered,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,76236,0.1,SA,"Species of National Environmental Significance 10km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=8079,0.999999943,0.029999996,Caladenia gladiolata
501,501,84996,84996,Caladenia graniticola,"Pingaring Spider-orchid, Granite Spider-orchid",Endangered,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,68663,0.01,WA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=84996,21.65999824,0.936499866,Caladenia graniticola
