,objectid,listed_tax,map_taxon,scientific,vernacular,threatened,migratory,marine,cetacean,presence_r,presence_c,extract_da,taxon_grou,taxon_fami,taxon_orde,taxon_clas,taxon_phyl,taxon_king,other_ids,cell_size,regions,attributio,sprat_prof,shape_leng,shape_area,species
2625,2625,174,174,Macroderma gigas,Ghost Bat,Vulnerable,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,mammals,Megadermatidae,Chiroptera,Mammalia,Chordata,Animalia,NA,0.01,NT; QLD; WA; SA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=174,602.9999755,20.69099822,Macroderma gigas
3479,3479,1060,1060,Macronectes giganteus,"Southern Giant-Petrel, Southern Giant Petrel",Endangered,Migratory,Listed,NA,2,Species or species habitat likely to occur,22/01/2024,birds,Procellariidae,Procellariiformes,Aves,Chordata,Animalia,NA,0.01,QLD; NSW; TAS; VIC; WA; CSI; SA; HMI; AAT; JBT; CMA; NFI,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1060,563.0798706,970.0618921,Macronectes giganteus
3480,3480,1060,1060,Macronectes giganteus,"Southern Giant-Petrel, Southern Giant Petrel",Endangered,Migratory,Listed,NA,1,Species or species habitat may occur,22/01/2024,birds,Procellariidae,Procellariiformes,Aves,Chordata,Animalia,NA,0.01,QLD; NSW; TAS; VIC; WA; CSI; SA; HMI; AAT; JBT; CMA; NFI,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1060,416.8399691,468.6661412,Macronectes giganteus
3482,3482,1061,1061,Macronectes halli,Northern Giant Petrel,Vulnerable,Migratory,Listed,NA,2,Species or species habitat likely to occur,22/01/2024,birds,Procellariidae,Procellariiformes,Aves,Chordata,Animalia,NA,0.01,QLD; NSW; TAS; VIC; WA; CSI; SA; HMI; AAT; JBT; CMA; NFI,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1061,447.3799502,597.9793898,Macronectes halli
3483,3483,1061,1061,Macronectes halli,Northern Giant Petrel,Vulnerable,Migratory,Listed,NA,1,Species or species habitat may occur,22/01/2024,birds,Procellariidae,Procellariiformes,Aves,Chordata,Animalia,NA,0.01,QLD; NSW; TAS; VIC; WA; CSI; SA; HMI; AAT; JBT; CMA; NFI,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1061,407.6399101,424.8769163,Macronectes halli
2891,2891,9003,9003,Macropteranthes montana,NA,Vulnerable,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Combretaceae,Myrtales,Magnoliopsida,Magnoliophyta,Plantae,NA,0.01,QLD,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=9003,33.89999896,0.981999943,Macropteranthes montana
3023,3023,9003,9003,Macropteranthes montana,NA,Vulnerable,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Combretaceae,Myrtales,Magnoliopsida,Magnoliophyta,Plantae,NA,0.01,QLD,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=9003,44.25999863,2.29999987,Macropteranthes montana
2402,2402,282,282,Macrotis lagotis,Greater Bilby,Vulnerable,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,mammals,Thylacomyidae,Polyprotodonta,Mammalia,Chordata,Animalia,NA,0.01,NT; QLD; NSW; WA; SA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=282,170.5399922,44.39709628,Macrotis lagotis
2403,2403,282,282,Macrotis lagotis,Greater Bilby,Vulnerable,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,mammals,Thylacomyidae,Polyprotodonta,Mammalia,Chordata,Animalia,NA,0.01,NT; QLD; NSW; WA; SA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=282,329.5199848,134.131489,Macrotis lagotis
230,230,64582,64582,Macrozamia conferta,NA,Vulnerable,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Zamiaceae,Cycadales,Cycadatae,Cycadophyta,Plantae,NA,0.1,QLD,"Species of National Environmental Significance 10km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64582,5.399999725,0.259999973,Macrozamia conferta
232,232,64582,64582,Macrozamia conferta,NA,Vulnerable,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Zamiaceae,Cycadales,Cycadatae,Cycadophyta,Plantae,NA,0.1,QLD,"Species of National Environmental Significance 10km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64582,2.799999874,0.159999983,Macrozamia conferta
209,209,64681,64681,Macrozamia cranei,NA,Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Zamiaceae,Cycadales,Cycadatae,Cycadophyta,Plantae,NA,0.1,QLD; NSW,"Species of National Environmental Significance 10km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64681,2.19999992,0.18999998,Macrozamia cranei
210,210,64681,64681,Macrozamia cranei,NA,Endangered,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Zamiaceae,Cycadales,Cycadatae,Cycadophyta,Plantae,NA,0.1,QLD; NSW,"Species of National Environmental Significance 10km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64681,4.599999817,0.199999979,Macrozamia cranei
3794,3794,55674,55674,Macrozamia johnsonii,NA,Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Zamiaceae,Cycadales,Cycadatae,Cycadophyta,Plantae,NA,0.1,NSW,"Species of National Environmental Significance 10km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55674,1.399999908,0.08999999,Macrozamia johnsonii
3795,3795,55674,55674,Macrozamia johnsonii,NA,Endangered,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Zamiaceae,Cycadales,Cycadatae,Cycadophyta,Plantae,NA,0.1,NSW,"Species of National Environmental Significance 10km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55674,3.399999797,0.17999998,Macrozamia johnsonii
3827,3827,55406,55406,Macrozamia lomandroides,cycad,Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Zamiaceae,Cycadales,Cycadatae,Cycadophyta,Plantae,NA,0.1,QLD,"Species of National Environmental Significance 10km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55406,2.399999893,0.209999981,Macrozamia lomandroides
3828,3828,55406,55406,Macrozamia lomandroides,cycad,Endangered,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Zamiaceae,Cycadales,Cycadatae,Cycadophyta,Plantae,NA,0.1,QLD,"Species of National Environmental Significance 10km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55406,1.999999913,0.059999995,Macrozamia lomandroides
4003,4003,11843,11843,Macrozamia macdonnellii,MacDonnell Ranges Cycad,Vulnerable,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Zamiaceae,Cycadales,Cycadatae,Cycadophyta,Plantae,NA,0.1,NT,"Species of National Environmental Significance 10km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=11843,6.799999601,0.349999968,Macrozamia macdonnellii
4019,4019,11843,11843,Macrozamia macdonnellii,MacDonnell Ranges Cycad,Vulnerable,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Zamiaceae,Cycadales,Cycadatae,Cycadophyta,Plantae,NA,0.1,NT,"Species of National Environmental Significance 10km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=11843,24.1999984,2.769999745,Macrozamia macdonnellii
231,231,64583,64583,Macrozamia machinii,NA,Vulnerable,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Zamiaceae,Cycadales,Cycadatae,Cycadophyta,Plantae,NA,0.1,QLD; NSW,"Species of National Environmental Significance 10km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64583,2.599999896,0.18999998,Macrozamia machinii
233,233,64584,64584,Macrozamia occidua,NA,Vulnerable,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Zamiaceae,Cycadales,Cycadatae,Cycadophyta,Plantae,NA,0.1,QLD,"Species of National Environmental Significance 10km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64584,1.199999936,0.069999993,Macrozamia occidua
170,170,64682,64682,Macrozamia parcifolia,NA,Vulnerable,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Zamiaceae,Cycadales,Cycadatae,Cycadophyta,Plantae,NA,0.1,QLD,"Species of National Environmental Significance 10km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64682,3.999999774,0.139999987,Macrozamia parcifolia
211,211,64682,64682,Macrozamia parcifolia,NA,Vulnerable,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Zamiaceae,Cycadales,Cycadatae,Cycadophyta,Plantae,NA,0.1,QLD,"Species of National Environmental Significance 10km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64682,1.799999908,0.089999992,Macrozamia parcifolia
1162,1162,5712,5712,Macrozamia pauli-guilielmi,Pineapple Zamia,Endangered,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Zamiaceae,Cycadales,Cycadatae,Cycadophyta,Plantae,NA,0.1,QLD,"Species of National Environmental Significance 10km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=5712,10.79999947,0.559999949,Macrozamia pauli-guilielmi
1236,1236,5712,5712,Macrozamia pauli-guilielmi,Pineapple Zamia,Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Zamiaceae,Cycadales,Cycadatae,Cycadophyta,Plantae,NA,0.1,QLD,"Species of National Environmental Significance 10km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=5712,5.99999975,0.939999915,Macrozamia pauli-guilielmi
3999,3999,3412,3412,Macrozamia platyrhachis,cycad,Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Zamiaceae,Cycadales,Cycadatae,Cycadophyta,Plantae,NA,0.1,QLD,"Species of National Environmental Significance 10km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=3412,2.799999879,0.289999975,Macrozamia platyrhachis
4000,4000,3412,3412,Macrozamia platyrhachis,cycad,Endangered,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Zamiaceae,Cycadales,Cycadatae,Cycadophyta,Plantae,NA,0.1,QLD,"Species of National Environmental Significance 10km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=3412,2.399999896,0.069999994,Macrozamia platyrhachis
1333,1333,8008,8008,Maireana cheelii,Chariot Wheels,Vulnerable,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Chenopodiaceae,Caryophyllales,Magnoliopsida,Magnoliophyta,Plantae,45142,0.01,QLD; NSW; VIC,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=8008,24.7199981,1.750299736,Maireana cheelii
1334,1334,8008,8008,Maireana cheelii,Chariot Wheels,Vulnerable,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Chenopodiaceae,Caryophyllales,Magnoliopsida,Magnoliophyta,Plantae,45142,0.01,QLD; NSW; VIC,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=8008,109.3399925,8.324898819,Maireana cheelii
1182,1182,64442,64442,Malurus coronatus coronatus,Purple-crowned Fairy-wren (western),Endangered,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,birds,Maluridae,Passeriformes,Aves,Chordata,Animalia,NA,0.01,NT; WA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64442,32.95999898,0.306699982,Malurus coronatus coronatus
1337,1337,64442,64442,Malurus coronatus coronatus,Purple-crowned Fairy-wren (western),Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,birds,Maluridae,Passeriformes,Aves,Chordata,Animalia,NA,0.01,NT; WA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64442,62.97999821,0.463799973,Malurus coronatus coronatus
810,810,26194,26194,Malurus leucopterus edouardi,"White-winged Fairy-wren (Barrow Island), Barrow Island Black-and-white Fairy-wren",Vulnerable,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,birds,Maluridae,Passeriformes,Aves,Chordata,Animalia,NA,0.01,WA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=26194,0.899999967,0.024999998,Malurus leucopterus edouardi
1497,1497,26004,26004,Malurus leucopterus leucopterus,"White-winged Fairy-wren (Dirk Hartog Island), Dirk Hartog Black-and-White Fairy-wren",Vulnerable,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,birds,Maluridae,Passeriformes,Aves,Chordata,Animalia,NA,0.01,WA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=26004,2.199999914,0.068699993,Malurus leucopterus leucopterus
2926,2926,449,449,Manorina melanotis,Black-eared Miner,Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,birds,Meliphagidae,Passeriformes,Aves,Chordata,Animalia,80567,0.01,NSW; VIC; SA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=449,47.43999598,3.326599509,Manorina melanotis
2927,2927,449,449,Manorina melanotis,Black-eared Miner,Endangered,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,birds,Meliphagidae,Passeriformes,Aves,Chordata,Animalia,80567,0.01,NSW; VIC; SA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=449,62.73999481,5.487799181,Manorina melanotis
2281,2281,84994,84994,Manta alfredi,"Reef Manta Ray, Coastal Manta Ray, Inshore Manta Ray, Prince Alfred's Ray, Resident Manta Ray",NA,Migratory,NA,NA,1,Species or species habitat may occur,22/01/2024,fishes,Mobulidae,Myliobatiformes,Chondrichthyes,Chordata,Animalia,90033,0.01,NA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=84994,144.5199936,9.960399086,Manta alfredi
2282,2282,84994,84994,Manta alfredi,"Reef Manta Ray, Coastal Manta Ray, Inshore Manta Ray, Prince Alfred's Ray, Resident Manta Ray",NA,Migratory,NA,NA,1,Species or species habitat may occur,22/01/2024,fishes,Mobulidae,Myliobatiformes,Chondrichthyes,Chordata,Animalia,90033,0.01,NA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=84994,295.5899929,46.29859784,Manta alfredi
2283,2283,84994,84994,Manta alfredi,"Reef Manta Ray, Coastal Manta Ray, Inshore Manta Ray, Prince Alfred's Ray, Resident Manta Ray",NA,Migratory,NA,NA,2,Species or species habitat likely to occur,22/01/2024,fishes,Mobulidae,Myliobatiformes,Chondrichthyes,Chordata,Animalia,90033,0.01,NA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=84994,776.2199766,31.52959772,Manta alfredi
2284,2284,84994,84994,Manta alfredi,"Reef Manta Ray, Coastal Manta Ray, Inshore Manta Ray, Prince Alfred's Ray, Resident Manta Ray",NA,Migratory,NA,NA,1,Species or species habitat may occur,22/01/2024,fishes,Mobulidae,Myliobatiformes,Chondrichthyes,Chordata,Animalia,90033,0.01,NA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=84994,458.4499885,56.27339756,Manta alfredi
2285,2285,84994,84994,Manta alfredi,"Reef Manta Ray, Coastal Manta Ray, Inshore Manta Ray, Prince Alfred's Ray, Resident Manta Ray",NA,Migratory,NA,NA,1,Species or species habitat may occur,22/01/2024,fishes,Mobulidae,Myliobatiformes,Chondrichthyes,Chordata,Animalia,90033,0.01,NA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=84994,138.4599944,7.421899049,Manta alfredi
2286,2286,84995,84995,Manta birostris,"Giant Manta Ray, Chevron Manta Ray, Pacific Manta Ray, Pelagic Manta Ray, Oceanic Manta Ray",NA,Migratory,NA,NA,2,Species or species habitat likely to occur,22/01/2024,fishes,Mobulidae,Myliobatiformes,Chondrichthyes,Chordata,Animalia,90034,0.01,CI; ACI; CSI; JBT; CMA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=84995,755.239977,29.0428979,Manta birostris
2308,2308,84995,84995,Manta birostris,"Giant Manta Ray, Chevron Manta Ray, Pacific Manta Ray, Pelagic Manta Ray, Oceanic Manta Ray",NA,Migratory,NA,NA,1,Species or species habitat may occur,22/01/2024,fishes,Mobulidae,Myliobatiformes,Chondrichthyes,Chordata,Animalia,90034,0.01,CI; ACI; CSI; JBT; CMA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=84995,82.88999501,68.83774053,Manta birostris
2309,2309,84995,84995,Manta birostris,"Giant Manta Ray, Chevron Manta Ray, Pacific Manta Ray, Pelagic Manta Ray, Oceanic Manta Ray",NA,Migratory,NA,NA,1,Species or species habitat may occur,22/01/2024,fishes,Mobulidae,Myliobatiformes,Chondrichthyes,Chordata,Animalia,90034,0.01,CI; ACI; CSI; JBT; CMA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=84995,177.77999,107.5196879,Manta birostris
2310,2310,84995,84995,Manta birostris,"Giant Manta Ray, Chevron Manta Ray, Pacific Manta Ray, Pelagic Manta Ray, Oceanic Manta Ray",NA,Migratory,NA,NA,1,Species or species habitat may occur,22/01/2024,fishes,Mobulidae,Myliobatiformes,Chondrichthyes,Chordata,Animalia,90034,0.01,CI; ACI; CSI; JBT; CMA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=84995,397.6599901,106.0927942,Manta birostris
2311,2311,84995,84995,Manta birostris,"Giant Manta Ray, Chevron Manta Ray, Pacific Manta Ray, Pelagic Manta Ray, Oceanic Manta Ray",NA,Migratory,NA,NA,1,Species or species habitat may occur,22/01/2024,fishes,Mobulidae,Myliobatiformes,Chondrichthyes,Chordata,Animalia,90034,0.01,CI; ACI; CSI; JBT; CMA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=84995,592.989984,139.520343,Manta birostris
2312,2312,84995,84995,Manta birostris,"Giant Manta Ray, Chevron Manta Ray, Pacific Manta Ray, Pelagic Manta Ray, Oceanic Manta Ray",NA,Migratory,NA,NA,1,Species or species habitat may occur,22/01/2024,fishes,Mobulidae,Myliobatiformes,Chondrichthyes,Chordata,Animalia,90034,0.01,CI; ACI; CSI; JBT; CMA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=84995,79.399998,27.45609898,Manta birostris
2015,2015,16197,16197,Marattia salicina,"King Fern, Para, Potato Fern",Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Marattiaceae,Marattiales,Polypodiatae,Polypodiophyta,Plantae,"404,604,047,591,570",0.01,NFI,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=16197,0.139999996,0.0008,Marattia salicina
2016,2016,16197,16197,Marattia salicina,"King Fern, Para, Potato Fern",Endangered,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Marattiaceae,Marattiales,Polypodiatae,Polypodiophyta,Plantae,"404,604,047,591,570",0.01,NFI,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=16197,0.139999999,0.0005,Marattia salicina
3284,3284,66762,66762,Marginaster littoralis,Derwent River Seastar,Critically Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,other-animals,Poraniidae,Valvatida,Asteroidea,Echinodermata,Animalia,90202,0.01,TAS,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66762,0.159999986,0.0007,Marginaster littoralis
3285,3285,66762,66762,Marginaster littoralis,Derwent River Seastar,Critically Endangered,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,other-animals,Poraniidae,Valvatida,Asteroidea,Echinodermata,Animalia,90202,0.01,TAS,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66762,0.279999975,0.0011,Marginaster littoralis
288,288,83925,83925,Marianthus paralius,NA,Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Pittosporaceae,Rosales,Magnoliopsida,Magnoliophyta,Plantae,NA,0.01,WA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=83925,0.579999969,0.003999999,Marianthus paralius
289,289,83925,83925,Marianthus paralius,NA,Endangered,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Pittosporaceae,Rosales,Magnoliopsida,Magnoliophyta,Plantae,NA,0.01,WA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=83925,0.279999986,0.0017,Marianthus paralius
